Track Name,Artist Name,Album,Track Pop
Avalum Naanum,A.R. Rahman,Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack),49
Theera Ulaa,A.R. Rahman,O Kadhal Kanmani (Original Motion Picture Soundtrack),43
Ennodu Nee Irundhaal,A.R. Rahman,I (Original Motion Picture Soundtrack),69
Kaara Aattakkaara,A.R. Rahman,O Kadhal Kanmani (Original Motion Picture Soundtrack),49
Thalli Pogathey,A.R. Rahman,Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack),62
Unakaga,A.R. Rahman,Bigil (Original Motion Picture Soundtrack),54
Bhoomi Bhoomi,A.R. Rahman,Chekka Chivantha Vaanam (Original Motion Picture Soundtrack),43
Malargal Kaettaen,A.R. Rahman,O Kadhal Kanmani (Original Motion Picture Soundtrack),43
Urvashi Uravashi,A.R. Rahman,Kaadhalan,54
Kummi Adi,A.R. Rahman,Silunu Oru Kadhal,0
Nenjukkule,A.R. Rahman,Kadal (Original Motion Picture Soundtrack),54
"Nila Kaaigiradhu (From ""Indira"")",Hariharan,Birthday Special A.R. Rahman Tamil Hits,41
Anjali Anjali,S. P. Balasubrahmanyam,Duet (Original Motion Picture Soundtrack),0
Thirakkaatha,Unnikrishnan,En Swasa Kaatre,39
Mannipaaya,A.R. Rahman,Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),60
Poo Pookum Oosai,Sujatha,Minsara Kanavu (Original Motion Picture Soundtrack),0
Nenjinile,S. Janaki,Uyire (Original Motion Picture Soundtrack),54
Snehidhane New Version,Sadhana Sargam,Alaipayuthey,56
New York,A.R. Rahman,Silunu Oru Kadhal,4
Nenjae Yezhu,A.R. Rahman,Maryan (Original Motion Picture Soundtrack),49
Singappenney,A.R. Rahman,Bigil (Original Motion Picture Soundtrack),44
